School Name,State Name [Public School] Latest available year,State Name [Public School] 2023-24,State Abbr [Public School] Latest available year,School Name [Public School] 2023-24,School ID (7-digit) – NCES Assigned [Public School] 2023-24,School ID (12-digit) - NCES Assigned [Public School] Latest available year,ANSI/FIPS State Code [Public School] Latest available year,County Name [Public School] 2023-24,Black or African American Students [Public School] 2023-24,White Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Two or More Races Students [Public School] 2023-24,Total Race/Ethnicity [Public School] 2023-24,Hispanic Students [Public School] 2023-24,Asian or Asian/Pacific Islander Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2023-24,Free Lunch Eligible [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2023-24,Pupil/Teacher Ratio [Public School] 2023-24,Location ZIP [Public School] 2023-24,Location ZIP4 [Public School] 2023-24
ACHIEVEMENT PREPARATORY ACADEMY PCS - WAHLER PLACE ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Achievement Preparatory Academy PCS - Wahler Place ES,1100473,1.10007E+11,11,District of Columbia,304,0,0,7,323,10,0,2,–,–,–,13.69,20032,    
AMIDON-BOWEN ES,District of Columbia,DISTRICT OF COLUMBIA,DC ,Amidon-Bowen ES,1100121,1.10003E+11,11,District of Columbia,270,51,1,14,365,26,3,0,–,–,–,10.58,20024,    
ANACOSTIA HS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Anacostia HS,1100085,1.10003E+11,11,District of Columbia,235,1,0,1,244,7,0,0,–,–,–,7.75,20020,    
APPLETREE EARLY LEARNING CENTER PCS - COLUMBIA HEIGHTS,District of Columbia,DISTRICT OF COLUMBIA,DC ,AppleTree Early Learning Center PCS - Columbia Heights,1100304,1.10005E+11,11,District of Columbia,86,5,0,1,123,27,4,0,–,–,–,9.04,20009,    
APPLETREE EARLY LEARNING CENTER PCS - DOUGLAS KNOLL,District of Columbia,DISTRICT OF COLUMBIA,DC ,AppleTree Early Learning Center PCS - Douglas Knoll,1100447,1.10005E+11,11,District of Columbia,47,0,0,0,51,2,1,1,–,–,–,42.5,20020,    
APPLETREE EARLY LEARNING CENTER PCS - LINCOLN PARK,District of Columbia,DISTRICT OF COLUMBIA,DC ,AppleTree Early Learning Center PCS - Lincoln Park,1100448,1.10005E+11,11,District of Columbia,15,34,0,2,59,5,3,0,–,–,–,14.75,20002,    
APPLETREE EARLY LEARNING CENTER PCS - OKLAHOMA AVENUE,District of Columbia,DISTRICT OF COLUMBIA,DC ,AppleTree Early Learning Center PCS - Oklahoma Avenue,1100435,1.10005E+11,11,District of Columbia,105,28,0,6,160,13,7,1,–,–,–,12.31,20002,    
APPLETREE EARLY LEARNING CENTER PCS - PARKLANDS AT THEARC,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC ,AppleTree Early Learning Center PCS - Parklands at THEARC,1100517,1.10005E+11,11,District of Columbia,94,0,0,3,99,2,0,0,–,–,–,10.53,20032,    
APPLETREE EARLY LEARNING CENTER PCS - SOUTHWEST,District of Columbia,DISTRICT OF COLUMBIA,DC ,AppleTree Early Learning Center PCS - Southwest,1100413,1.10005E+11,11,District of Columbia,72,2,0,4,84,5,1,0,–,–,–,10.57,20024,    
BALLOU HS,District of Columbia,DISTRICT OF COLUMBIA,DC ,Ballou HS,1100084,1.10003E+11,11,District of Columbia,567,0,0,1,585,16,0,1,–,–,–,9.7,20032,    
