state,year,distid_stateassigned,schoolid_stateassigned,distname,schoolname,ncesdistid_admin,ncesdistid_geo,census_id,ncesid,ncesenroll,gradespan,level,enroll_raw_DC,pp_stloc_raw_DC,pp_fed_raw_DC,pp_total_raw_DC,pp_site_stloc_raw_DC,pp_site_fed_raw_DC,pp_site_raw_DC,pp_centshare_stloc_raw_DC,pp_centshare_fed_raw_DC,pp_centshare_raw_DC,schoolstloc_raw_DC,schoolfed_raw_DC,schooltot_raw_DC,flag_NERDS,nces_locale,nces_charter,nces_freelunch,nces_reducedlunch,nces_poverty,nces_address,nces_city,nces_zip
DC,2023-2024,178,233,Academy of Hope Adult PCS,Academy of Hope Adult PCS,NA,NA,NA,NA,NA,NA,NA,840,15032.52738,741.8988095,15774.42619,15032.52738,741.8988095,15774.42619,0,0,0,12627323,623195,13250518,0,NA,NA,NA,NA,NA,NA,NA,NA
DC,2023-2024,155,217,Achievement Preparatory Academy PCS,Achievement Preparatory Academy PCS - Wahler Place Elementary School,1100072,1100072,NA,110007200473,323,PK-05,2,323,32877.95737,4264.958452,37142.91582,32877.95737,4264.958452,37142.91582,0,0,0,10619580.23,1377581.58,11997161.81,0,11-City: Large,1-Yes,NA,NA,NA,908 WAHLER PLACE SE,Washington,20032
DC,2023-2024,103,140,AppleTree Early Learning PCS,AppleTree Early Learning Center PCS - Columbia Heights,1100054,1100054,NA,110005400304,123,PK-PK,1,123,25902.41463,3437.260163,29339.6748,20300.97561,3437.260163,23738.23577,5601.439024,0,5601.439024,3185997,422783,3608780,0,11-City: Large,1-Yes,NA,NA,NA,2750 14TH STREET NW,Washington,20009
DC,2023-2024,103,3072,AppleTree Early Learning PCS,AppleTree Early Learning Center PCS - Douglas Knoll,1100054,1100054,NA,110005400447,51,PK-PK,1,51,26484.01961,3669.176471,30153.19608,20882.58824,3669.176471,24551.76471,5601.431373,0,5601.431373,1350685,187128,1537813,0,11-City: Large,1-Yes,NA,NA,NA,2017 SAVANNAH TERRACE SE,Washington,20020
DC,2023-2024,103,3073,AppleTree Early Learning PCS,AppleTree Early Learning Center PCS - Lincoln Park,1100054,1100054,NA,110005400448,59,PK-PK,1,59,25337.54237,2772.135593,28109.67797,19736.10169,2772.135593,22508.23729,5601.440678,0,5601.440678,1494915,163556,1658471,0,11-City: Large,1-Yes,NA,NA,NA,138 12TH STREET NE,Washington,20002
DC,2023-2024,103,1137,AppleTree Early Learning PCS,AppleTree Early Learning Center PCS - Oklahoma Avenue,1100054,1100054,NA,110005400435,160,PK-PK,1,160,32711.6125,3150.40625,35862.01875,27110.16875,3150.40625,30260.575,5601.44375,0,5601.44375,5233858,504065,5737923,0,11-City: Large,1-Yes,NA,NA,NA,330 21ST STREET NE,Washington,20002
DC,2023-2024,103,1069,AppleTree Early Learning PCS,AppleTree Early Learning Center PCS - Parklands at THEARC,1100054,1100054,NA,110005400517,99,PK-PK,1,99,27656.56566,3538.454545,31195.0202,22055.12121,3538.454545,25593.57576,5601.444444,0,5601.444444,2738000,350307,3088307,0,11-City: Large,1-Yes,NA,NA,NA,1801 MISSISSIPPI AVENUE SE,Washington,20032
DC,2023-2024,103,141,AppleTree Early Learning PCS,AppleTree Early Learning Center PCS - Southwest,1100054,1100054,NA,110005400413,84,PK-PK,1,84,33119.71429,3431.666667,36551.38095,27518.27381,3431.666667,30949.94048,5601.440476,0,5601.440476,2782056,288260,3070316,0,11-City: Large,1-Yes,NA,NA,NA,488 VIRGINIA AVENUE SW,Washington,20024
DC,2023-2024,168,3068,BASIS DC PCS,BASIS DC PCS,1100083,1100083,NA,110008300443,690,05-12,4,690,16981.08804,431.3042319,17412.39228,16981.08804,431.3042319,17412.39228,0,0,0,11716950.75,297599.92,12014550.67,0,11-City: Large,1-Yes,NA,NA,NA,410 8TH STREET NW,Washington,20004
DC,2023-2024,189,289,Breakthrough Montessori PCS,Breakthrough Montessori PCS,1100104,1100104,NA,110010400507,369,PK-06,2,369,26417.23306,1127.864499,27545.09756,26417.23306,1127.864499,27545.09756,0,0,0,9747959,416182,10164141,0,11-City: Large,1-Yes,NA,NA,NA,6923 WILLOW STREET NW,Washington,20012
